Table;Column;Description;tradução
customers_target_and_decision_dataset;credit_card_initial_line;the initial credit card limit we provided to the customer;o limite inicial do cartão de crédito que fornecemos ao cliente
customers_target_and_decision_dataset;default;if the customer paid (0) or defaulted (1) on our credit card. This is the target.;se o cliente pagou (0) ou deu calote (1) no nosso cartão de crédito. Este é o alvo (variável target)
application_train_dataset;age;customer's age;idade do cliente
application_train_dataset;amt_active_loan;amount of balance in loans from other institutions in the application date;
application_train_dataset;channel;channel used for application;
application_train_dataset;ext_score_1;external credit score 1;
application_train_dataset;ext_score_2;external credit score 2;
application_train_dataset;ext_score_3;external credit score 3;
application_train_dataset;ext_score_4;external credit score 4;
application_train_dataset;flag_document_A;whether document A was provided in the application;
application_train_dataset;gender;customer's gender;
application_train_dataset;ids;person's unique id;
application_train_dataset;income;customer's annual income;
application_train_dataset;occupation_type;customer's occupation;
application_train_dataset;score_checks;number of credit checks for the customer performed over the previous year;
application_train_dataset;score_date;date on which the customer applied for credit card;
application_train_dataset;start_hour;truncated time when the application was received;
unstructured_dataset;ids;person's unique id;
unstructured_dataset;payment;amount paid on that month;
unstructured_dataset;date;payment date;
unstructured_dataset;credit_line;credit limit on that month;
unstructured_dataset;spends;amount spent on that month;
